         1850643 function calls (1742367 primitive calls) in 1.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.054    0.054 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\ufunc\parallel.py:49(build_gufunc_kernel)
       39    0.001    0.000    0.053    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\postproc.py:71(run)
     7610    0.002    0.000    0.052    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir.py:354(list_vars)
  365/243    0.001    0.000    0.047    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\functools.py:981(__get__)
    70/64    0.007    0.000    0.046    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
      132    0.000    0.000    0.046    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typeinfer.py:687(__call__)
       40    0.000    0.000    0.044    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\module.py:233(__repr__)
       40    0.000    0.000    0.043    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\module.py:207(_get_body_lines)
       40    0.000    0.000    0.043    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\module.py:212(<listcomp>)
    86/84    0.000    0.000    0.043    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\__init__.py:108(import_module)
    86/84    0.000    0.000    0.043    0.001 <frozen importlib._bootstrap>:1192(_gcd_import)
        2    0.000    0.000    0.042    0.021 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\types\functions.py:387(get_call_type)
        2    0.000    0.000    0.042    0.021 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:1137(generic)
